,delta_ln_PIB,delta_ln_VAP,delta_ln_TD,delta_ln_TD A.M.,delta_ln_EXP,delta_ln_IMP,delta_ln_REM,delta_ln_EMP,delta_ln_INV,delta_ln_POB Risaralda,delta_ln_POB Pereira
delta_ln_PIB,1.0,0.9517195888511483,-0.6820258628274066,-0.6970746267093255,0.19746817999474045,0.3984981515821909,0.02218669402312826,0.5218627487315475,0.0998387478819435,-0.24547768244508344,-0.4044415990330226
delta_ln_VAP,0.9517195888511483,1.0,-0.779237519575357,-0.8012633255384689,0.3527031806018658,0.5141452241776009,0.08865278415379725,0.49542840054054393,0.06191904346536296,-0.49526739408755655,-0.6437822628763038
delta_ln_TD,-0.6820258628274066,-0.779237519575357,1.0,0.9713519227775952,-0.03961674452697346,-0.3512292209408872,-0.13686355543639675,-0.41653843497137805,0.008683103033497024,0.44633235818471767,0.4412719729328011
delta_ln_TD A.M.,-0.6970746267093255,-0.8012633255384689,0.9713519227775952,1.0,0.0375846286172926,-0.4756152879264266,-0.19300731474220306,-0.5438462245416508,-0.00269535885274116,0.38950917305566657,0.3591302149166381
delta_ln_EXP,0.19746817999474045,0.3527031806018658,-0.03961674452697346,0.0375846286172926,1.0,0.01046331819600369,0.31181730040044536,-0.5490877482016969,-0.04596641741554328,-0.22764457581166075,-0.5611980095934193
delta_ln_IMP,0.3984981515821909,0.5141452241776009,-0.3512292209408872,-0.4756152879264266,0.01046331819600369,1.0,0.2791185914123474,0.7704850495426278,0.33456006743577726,0.0036556536913574197,0.04998818302175742
delta_ln_REM,0.02218669402312826,0.08865278415379725,-0.13686355543639675,-0.19300731474220306,0.31181730040044536,0.2791185914123474,1.0,0.005453962207460447,0.5545290203245209,-0.2672115638077734,-0.16005700447573654
delta_ln_EMP,0.5218627487315475,0.49542840054054393,-0.41653843497137805,-0.5438462245416508,-0.5490877482016969,0.7704850495426278,0.005453962207460447,1.0,0.19330021866718353,-0.0887317997805806,0.2508374978498161
delta_ln_INV,0.0998387478819435,0.06191904346536296,0.008683103033497024,-0.00269535885274116,-0.04596641741554328,0.33456006743577726,0.5545290203245209,0.19330021866718353,1.0,0.10546469681337577,0.20520183367127887
delta_ln_POB Risaralda,-0.24547768244508344,-0.49526739408755655,0.44633235818471767,0.38950917305566657,-0.22764457581166075,0.0036556536913574197,-0.2672115638077734,-0.0887317997805806,0.10546469681337577,1.0,0.7231017509064515
delta_ln_POB Pereira,-0.4044415990330226,-0.6437822628763038,0.4412719729328011,0.3591302149166381,-0.5611980095934193,0.04998818302175742,-0.16005700447573654,0.2508374978498161,0.20520183367127887,0.7231017509064515,1.0
