,ln_PIB,ln_VAP,ln_TD,ln_TD A.M.,ln_EXP,ln_IMP,ln_REM,ln_EMP,ln_INV,ln_POB Risaralda,ln_POB Pereira
ln_PIB,1.0,0.9976422026400993,-0.5935799860737001,-0.5932039292609183,0.03520433564884824,0.9251443663513977,0.8576039216155886,0.9392656380089395,0.5388385836248617,0.981854789540725,0.9877899269504868
ln_VAP,0.9976422026400993,1.0,-0.5145358838716629,-0.5369589905942879,-0.5810192666564844,0.8872206801627758,0.7955736578683046,0.9582680206064618,0.39950760174292577,0.9548763681041349,0.9670465773625072
ln_TD,-0.5935799860737001,-0.5145358838716629,1.0,0.9886136542680847,0.029009430984116624,-0.6109228890912483,-0.1623176743969377,0.08436059763877704,-0.4745998552969632,-0.4752175300514301,-0.5232795639556161
ln_TD A.M.,-0.5932039292609183,-0.5369589905942879,0.9886136542680847,1.0,0.06660751400564867,-0.6351783329416227,-0.13393125324582267,0.059484482027526715,-0.47838251648715363,-0.4744176719387625,-0.5227972795297946
ln_EXP,0.03520433564884824,-0.5810192666564844,0.029009430984116624,0.06660751400564867,1.0,0.06052131959855439,0.042774126899990265,0.031326083489713115,-0.384655702844933,-0.05122989523766359,-0.09114975303741378
ln_IMP,0.9251443663513977,0.8872206801627758,-0.6109228890912483,-0.6351783329416227,0.06052131959855439,1.0,0.7170470003359044,0.9017068884184082,0.5413208423278044,0.8906404304534459,0.9080677157294237
ln_REM,0.8576039216155886,0.7955736578683046,-0.1623176743969377,-0.13393125324582267,0.042774126899990265,0.7170470003359044,1.0,0.8029368861810959,0.35377942800345163,0.8617820782499391,0.8798363780411137
ln_EMP,0.9392656380089395,0.9582680206064618,0.08436059763877704,0.059484482027526715,0.031326083489713115,0.9017068884184082,0.8029368861810959,1.0,0.028851192733421026,0.9544156796581108,0.9652913279155046
ln_INV,0.5388385836248617,0.39950760174292577,-0.4745998552969632,-0.47838251648715363,-0.384655702844933,0.5413208423278044,0.35377942800345163,0.028851192733421026,1.0,0.5375918874663631,0.5730244260555722
ln_POB Risaralda,0.981854789540725,0.9548763681041349,-0.4752175300514301,-0.4744176719387625,-0.05122989523766359,0.8906404304534459,0.8617820782499391,0.9544156796581108,0.5375918874663631,1.0,0.9910973041832217
ln_POB Pereira,0.9877899269504868,0.9670465773625072,-0.5232795639556161,-0.5227972795297946,-0.09114975303741378,0.9080677157294237,0.8798363780411137,0.9652913279155046,0.5730244260555722,0.9910973041832217,1.0
